retailerProductId,name,brand,url,matchedFieldTitles,matchedSnippets,categoryPaths
634299011,Mooncup Organic Cotton Applicator Tampons Heavy,&Sisters by Mooncup,https://www.ocado.com/products/634299011/details,dietaryInformation,Organic; Suitable for Vegans,health-beauty-personal-care/period-care/tampons
634301011,Mooncup Organic Cotton Applicator Tampons Medium,&Sisters by Mooncup,https://www.ocado.com/products/634301011/details,dietaryInformation,Organic; Suitable for Vegans,health-beauty-personal-care/period-care/tampons
634303011,"Mooncup Original Menstrual Cup, Size A",&Sisters by Mooncup,https://www.ocado.com/products/634303011/details,features | dietaryInformation,"Holds 3 tampons worth of blood, Suitable for vegans | Suitable for Vegans",health-beauty-personal-care/period-care/period-pants-menstrual-cups-reusables/menstrual-cups
634302011,"Mooncup Original Menstrual Cup, Size B",&Sisters by Mooncup,https://www.ocado.com/products/634302011/details,features | dietaryInformation,"Holds 3 tampons worth of blood, Suitable for vegans | Suitable for Vegans",health-beauty-personal-care/period-care/period-pants-menstrual-cups-reusables/menstrual-cups
608145011,19 Crimes Revolutionary Rose,19 Crimes,https://www.ocado.com/products/608145011/details,dietaryInformation,Suitable for Vegans,beer-wine-spirits/wine/rose-wine/shop-by-country/spain | beer-wine-spirits/wine/rose-wine/shop-by-flavour/pale-crisp | beer-wine-spirits/wine/rose-wine/still-rose-wine
554148011,6 O'clock Gin Exotic Orange Gin & Tonic,6 O'clock Gin,https://www.ocado.com/products/554148011/details,dietaryInformation,Free From Artificial Colours and Flavours. Suitable for vegans.,beer-wine-spirits/cocktails/individual-serving
554145011,6 O'clock Gin London Dry Gin & Tonic,6 O'clock Gin,https://www.ocado.com/products/554145011/details,dietaryInformation,Free From Artificial Colours and Flavours. Suitable for vegans.,beer-wine-spirits/cocktails/individual-serving
688034011,"6Percent Mid-Strength Red Wine, Merlot and Cabernet Sauvignon 2024",6Percent,https://www.ocado.com/products/688034011/details,dietaryInformation,Suitable for Vegans and Vegetarians,beer-wine-spirits/low-alcohol-alcohol-free/session-drinks | beer-wine-spirits/low-alcohol-alcohol-free/wine/low-alcohol | beer-wine-spirits/wine/low-no-alcohol-wine/low-alcohol-wine | beer-wine-spirits/wine/red-wine/shop-by-country/france/bordeaux | beer-wine-spirits/wine/red-wine/shop-by-variety/cabernet-sauvignon | new-trending/new
688035011,"6Percent Mid-Strength White Wine, Sauvignon Blanc 2024",6Percent,https://www.ocado.com/products/688035011/details,dietaryInformation,Suitable for Vegans and Vegetarians,beer-wine-spirits/low-alcohol-alcohol-free/session-drinks | beer-wine-spirits/low-alcohol-alcohol-free/wine/low-alcohol | beer-wine-spirits/wine/low-no-alcohol-wine/low-alcohol-wine | beer-wine-spirits/wine/white-wine/shop-by-country/france/bordeaux | beer-wine-spirits/wine/white-wine/shop-by-variety/sauvignon-blanc | new-trending/new
674464011,7th Heaven Llamacorn Face Sheet Mask,7th Heaven,https://www.ocado.com/products/674464011/details,dietaryInformation,Not Tested on Animals; Suitable for Vegans; Suitable for Vegetarians,health-beauty-personal-care/skin-care/face-masks/sheet-masks
674466011,7th Heaven Nutriactive Hyaluronic Acid Sheet Mask,7th Heaven,https://www.ocado.com/products/674466011/details,dietaryInformation,Suitable for Vegans; Suitable for Vegetarians,health-beauty-personal-care/skin-care/face-masks/hydrating-brightening | health-beauty-personal-care/skin-care/face-masks/sheet-masks
